Age,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21
"(99, 109]",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,3,2,3,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,3,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"(89, 99]",0,0,5,6,9,8,8,8,2,2,3,1,1,0,2,0,0,0,0,1,0,1,0,0,2,5,1,8,12,24,19,31,59,59,61,97,112,108,100,87,63,75,56,55,40,43,58,46,50,49,58,73,85,101,102,124,106,81,61,50,29,16,9,3,2,1,1,1,0,0,0,1,1,0,3,1,1,4,0,4,5,3,6,16,35,47,23
"(79, 89]",3,3,5,16,25,24,24,34,16,14,11,7,5,6,3,5,2,1,1,2,1,1,1,3,3,16,20,27,51,60,87,115,191,228,217,291,390,348,381,331,286,223,234,224,193,170,199,151,169,232,262,288,372,382,380,461,396,314,240,148,82,57,36,16,16,12,2,1,3,0,2,1,2,3,2,1,7,9,9,14,19,25,34,63,123,174,91
"(69, 79]",0,2,7,22,29,25,20,12,11,9,12,5,4,1,3,2,0,0,0,1,4,1,0,2,4,12,18,30,38,64,96,123,186,188,224,250,360,336,319,277,253,242,224,170,177,190,190,186,226,277,351,431,588,552,527,554,441,365,201,163,101,58,30,13,14,12,4,4,6,1,1,2,2,1,2,0,8,11,8,19,21,24,38,72,140,206,83
"(59, 69]",2,2,5,16,16,16,11,9,8,6,8,4,4,1,2,0,4,0,0,1,0,1,0,5,3,8,11,12,18,27,54,89,129,125,137,138,226,220,216,159,158,151,125,134,95,115,115,137,141,203,245,312,413,441,420,374,299,245,169,115,83,49,31,10,9,5,4,5,2,1,2,2,0,2,3,0,5,7,10,7,18,13,30,47,95,135,59
"(49, 59]",0,0,0,1,6,9,3,6,1,3,5,2,0,0,1,1,0,0,0,0,0,0,0,0,1,3,1,6,8,8,16,23,31,40,40,65,64,58,89,65,55,57,34,34,29,38,36,54,58,98,109,129,156,179,177,164,128,107,73,52,28,14,11,4,3,0,1,1,0,1,0,0,0,2,1,1,2,3,1,4,11,7,21,19,40,77,31
"(39, 49]",1,0,0,3,2,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,2,3,1,4,9,10,16,10,15,23,36,14,21,17,18,11,10,7,13,8,13,17,25,32,36,55,72,63,73,61,44,46,42,33,15,12,9,3,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,2,2,10,13,15,31,13
"(29, 39]",0,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,6,7,4,4,4,6,2,6,4,5,8,3,5,1,3,1,5,5,13,16,17,13,13,17,18,13,10,7,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,5,5,9,4
"(19, 29]",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,2,4,3,4,3,0,0,1,0,3,1,1,1,1,1,3,6,6,10,10,8,6,5,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,0
"(9, 19]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"(0, 9]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
