,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31,2021-11-07,2021-11-14,2021-11-21
"(89, 99]",0.0,0.0,7.273256236817223e-05,8.727907484180668e-05,0.00013091861226271,0.00011637209978907557,0.00011637209978907557,0.00011637209978907557,2.909302494726889e-05,2.909302494726889e-05,4.363953742090334e-05,1.4546512473634446e-05,1.4546512473634446e-05,0.0,2.909302494726889e-05,0.0,0.0,0.0,0.0,1.4546512473634446e-05,0.0,1.4546512473634446e-05,0.0,0.0,2.909302494726889e-05,7.273256236817223e-05,1.4546512473634446e-05,0.00011637209978907557,0.00017455814968361336,0.0003491162993672267,0.0002763837369990545,0.00045094188668266783,0.0008582442359444324,0.0008582442359444324,0.0008873372608917012,0.0014110117099425414,0.001629209397047058,0.0015710233471525202,0.0014546512473634446,0.0012655465852061969,0.0009164302858389701,0.0010909884355225835,0.000814604698523529,0.0008000581860498945,0.0005818604989453779,0.0006255000363662812,0.0008436977234707978,0.0006691395737871846,0.0007273256236817223,0.0007127791112080879,0.0008436977234707978,0.0010618954105753146,0.001236453560258928,0.001469197759837079,0.0014837442723107134,0.0018037675467306713,0.0015419303222052514,0.00117826751036439,0.0008873372608917012,0.0007273256236817223,0.0004218488617353989,0.00023274419957815113,0.00013091861226271,4.363953742090334e-05,2.909302494726889e-05,1.4546512473634446e-05,1.4546512473634446e-05,1.4546512473634446e-05,0.0,0.0,0.0,1.4546512473634446e-05,1.4546512473634446e-05,0.0,4.363953742090334e-05,1.4546512473634446e-05,1.4546512473634446e-05,5.818604989453778e-05,0.0,5.818604989453778e-05,7.273256236817223e-05,4.363953742090334e-05,8.727907484180668e-05,0.00023274419957815113,0.0005091279365772056,0.000683686086260819,0.0003345697868935923
"(79, 89]",7.797068302318328e-06,7.797068302318328e-06,1.2995113837197213e-05,4.158436427903109e-05,6.497556918598607e-05,6.237654641854663e-05,6.237654641854663e-05,8.836677409294106e-05,4.158436427903109e-05,3.63863187441522e-05,2.858925044183387e-05,1.81931593720761e-05,1.2995113837197213e-05,1.5594136604636657e-05,7.797068302318328e-06,1.2995113837197213e-05,5.198045534878886e-06,2.599022767439443e-06,2.599022767439443e-06,5.198045534878886e-06,2.599022767439443e-06,2.599022767439443e-06,2.599022767439443e-06,7.797068302318328e-06,7.797068302318328e-06,4.158436427903109e-05,5.1980455348788854e-05,7.017361472086496e-05,0.00013255016113941157,0.00015594136604636657,0.00022611498076723153,0.0002988876182555359,0.0004964133485809336,0.0005925771909761929,0.0005639879405343591,0.0007563156253248778,0.0010136188793013828,0.0009044599230689261,0.0009902276743944277,0.0008602765360224556,0.0007433205114876807,0.0005795820771389957,0.0006081713275808296,0.0005821810999064352,0.0005016113941158125,0.0004418338704647053,0.0005172055307204491,0.0003924524378833559,0.00043923484769726583,0.0006029732820459508,0.000680943965069134,0.0007485185570225595,0.0009668364694874727,0.0009928266971618671,0.0009876286516269882,0.0011981494957895831,0.0010292130159060193,0.000816093148975985,0.0006237654641854663,0.0003846553695810375,0.0002131198669300343,0.00014814429774404823,9.356481962781993e-05,4.158436427903109e-05,4.158436427903109e-05,3.1188273209273314e-05,5.198045534878886e-06,2.599022767439443e-06,7.797068302318328e-06,0.0,5.198045534878886e-06,2.599022767439443e-06,5.198045534878886e-06,7.797068302318328e-06,5.198045534878886e-06,2.599022767439443e-06,1.81931593720761e-05,2.3391204906954983e-05,2.3391204906954983e-05,3.63863187441522e-05,4.938143258134941e-05,6.497556918598607e-05,8.836677409294106e-05,0.0001637384343486849,0.00031967980039505147,0.00045222996153446306,0.0002365110718369893
"(69, 79]",0.0,2.307987019881e-06,8.077954569583501e-06,2.5387857218691002e-05,3.34658117882745e-05,2.8849837748512503e-05,2.307987019881e-05,1.3847922119286002e-05,1.2693928609345501e-05,1.0385941589464501e-05,1.3847922119286002e-05,5.7699675497025e-06,4.615974039762e-06,1.1539935099405e-06,3.4619805298215005e-06,2.307987019881e-06,0.0,0.0,0.0,1.1539935099405e-06,4.615974039762e-06,1.1539935099405e-06,0.0,2.307987019881e-06,4.615974039762e-06,1.3847922119286002e-05,2.0771883178929002e-05,3.4619805298215e-05,4.3851753377739e-05,7.3855584636192e-05,0.00011078337695428801,0.0001419412017226815,0.00021464279284893301,0.00021695077986881402,0.00025849454622667203,0.000288498377485125,0.00041543766357858005,0.00038774181934000804,0.0003681239296710195,0.00031965620225351854,0.00029196035801494654,0.00027926642940560105,0.00025849454622667203,0.00019617889668988503,0.0002042568512594685,0.00021925876688869502,0.00021925876688869502,0.00021464279284893301,0.000260802533246553,0.00031965620225351854,0.00040505172198911554,0.0004973712027843555,0.000678548183845014,0.000637004417487156,0.0006081545797386436,0.0006393124045070371,0.0005089111378837605,0.00042120763112828255,0.0002319526954980405,0.00018810094212030152,0.00011655334450399051,6.6931623576549e-05,3.4619805298215e-05,1.5001915629226501e-05,1.6155909139167002e-05,1.3847922119286002e-05,4.615974039762e-06,4.615974039762e-06,6.923961059643001e-06,1.1539935099405e-06,1.1539935099405e-06,2.307987019881e-06,2.307987019881e-06,1.1539935099405e-06,2.307987019881e-06,0.0,9.231948079524e-06,1.2693928609345501e-05,9.231948079524e-06,2.19258766888695e-05,2.4233863708750503e-05,2.7695844238572004e-05,4.3851753377739e-05,8.308753271571601e-05,0.00016155909139167,0.000237722663047743,9.578146132506151e-05
"(59, 69]",1.5454660662015843e-06,1.5454660662015843e-06,3.8636651655039614e-06,1.2363728529612675e-05,1.2363728529612675e-05,1.2363728529612675e-05,8.500063364108714e-06,6.95459729790713e-06,6.181864264806337e-06,4.636398198604753e-06,6.181864264806337e-06,3.0909321324031686e-06,3.0909321324031686e-06,7.727330331007922e-07,1.5454660662015843e-06,0.0,3.0909321324031686e-06,0.0,0.0,7.727330331007922e-07,0.0,7.727330331007922e-07,0.0,3.8636651655039614e-06,2.3181990993023767e-06,6.181864264806337e-06,8.500063364108714e-06,9.272796397209507e-06,1.390919459581426e-05,2.086379189372139e-05,4.172758378744278e-05,6.877323994597051e-05,9.96825612700022e-05,9.659162913759903e-05,0.00010586442553480854,0.00010663715856790932,0.00017463766548077905,0.00017000126728217429,0.00016691033514977112,0.00012286455226302595,0.00012209181922992517,0.00011668268799821963,9.659162913759903e-05,0.00010354622643550616,7.340963814457526e-05,8.88642988065911e-05,8.88642988065911e-05,0.00010586442553480854,0.0001089553576672117,0.00015686480571946082,0.00018931959310969408,0.00024109270632744718,0.0003191387426706272,0.0003407752675974494,0.0003245478739023327,0.00028900215437969626,0.00023104717689713687,0.00018931959310969408,0.00013059188259403388,8.88642988065911e-05,6.413684174736575e-05,3.786391862193882e-05,2.3954724026124558e-05,7.727330331007923e-06,6.95459729790713e-06,3.8636651655039614e-06,3.0909321324031686e-06,3.8636651655039614e-06,1.5454660662015843e-06,7.727330331007922e-07,1.5454660662015843e-06,1.5454660662015843e-06,0.0,1.5454660662015843e-06,2.3181990993023767e-06,0.0,3.8636651655039614e-06,5.409131231705545e-06,7.727330331007923e-06,5.409131231705545e-06,1.390919459581426e-05,1.0045529430310298e-05,2.3181990993023767e-05,3.6318452555737236e-05,7.340963814457526e-05,0.00010431895946860695,4.559124895294674e-05
"(49, 59]",0.0,0.0,0.0,8.279214865495875e-07,4.967528919297525e-06,7.451293378946288e-06,2.4837644596487626e-06,4.967528919297525e-06,8.279214865495875e-07,2.4837644596487626e-06,4.139607432747938e-06,1.655842973099175e-06,0.0,0.0,8.279214865495875e-07,8.279214865495875e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279214865495875e-07,2.4837644596487626e-06,8.279214865495875e-07,4.967528919297525e-06,6.6233718923967e-06,6.6233718923967e-06,1.32467437847934e-05,1.9042194190640512e-05,2.5665566083037212e-05,3.31168594619835e-05,3.31168594619835e-05,5.381489662572319e-05,5.29869751391736e-05,4.8019446219876074e-05,7.36850123029133e-05,5.381489662572319e-05,4.5535681760227317e-05,4.719152473332649e-05,2.8149330542685976e-05,2.8149330542685976e-05,2.4009723109938037e-05,3.146101648888432e-05,2.980517351578515e-05,4.4707760273677724e-05,4.8019446219876074e-05,8.113630568185958e-05,9.024344203390504e-05,0.0001068018717648968,0.00012915575190173566,0.00014819794609237616,0.000146542103119277,0.00013577912379413235,0.0001059739502783472,8.858759906080587e-05,6.043826851811989e-05,4.305191730057855e-05,2.318180162338845e-05,1.1590900811694226e-05,9.107136352045463e-06,3.31168594619835e-06,2.4837644596487626e-06,0.0,8.279214865495875e-07,8.279214865495875e-07,0.0,8.279214865495875e-07,0.0,0.0,0.0,1.655842973099175e-06,8.279214865495875e-07,8.279214865495875e-07,1.655842973099175e-06,2.4837644596487626e-06,8.279214865495875e-07,3.31168594619835e-06,9.107136352045463e-06,5.795450405847113e-06,1.7386351217541337e-05,1.573050824444216e-05,3.31168594619835e-05,6.374995446431824e-05,2.5665566083037212e-05
"(39, 49]",6.498595653479283e-07,0.0,0.0,1.949578696043785e-06,1.2997191306958566e-06,0.0,1.2997191306958566e-06,1.2997191306958566e-06,0.0,0.0,6.498595653479283e-07,0.0,6.498595653479283e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.498595653479283e-07,6.498595653479283e-07,0.0,0.0,0.0,1.2997191306958566e-06,1.2997191306958566e-06,1.949578696043785e-06,6.498595653479283e-07,2.599438261391713e-06,5.8487360881313545e-06,6.498595653479283e-06,1.0397753045566853e-05,6.498595653479283e-06,9.747893480218925e-06,1.494677000300235e-05,2.3394944352525418e-05,9.098033914870996e-06,1.3647050872306494e-05,1.1047612610914782e-05,1.1697472176262709e-05,7.148455218827212e-06,6.498595653479283e-06,4.549016957435498e-06,8.448174349523067e-06,5.198876522783426e-06,8.448174349523067e-06,1.1047612610914782e-05,1.624648913369821e-05,2.0795506091133705e-05,2.3394944352525418e-05,3.5742276094136056e-05,4.6789888705050836e-05,4.094115261691948e-05,4.7439748270398765e-05,3.964143348622363e-05,2.8593820875308847e-05,2.98935400060047e-05,2.729410174461299e-05,2.1445365656481634e-05,9.747893480218925e-06,7.79831478417514e-06,5.8487360881313545e-06,1.949578696043785e-06,6.498595653479283e-07,0.0,0.0,0.0,0.0,6.498595653479283e-07,6.498595653479283e-07,6.498595653479283e-07,0.0,0.0,0.0,0.0,6.498595653479283e-07,6.498595653479283e-07,0.0,0.0,1.2997191306958566e-06,1.2997191306958566e-06,6.498595653479283e-06,8.448174349523067e-06,9.747893480218925e-06,2.0145646525785776e-05,8.448174349523067e-06
"(29, 39]",0.0,0.0,0.0,8.301083623456206e-07,2.4903250870368618e-06,8.301083623456206e-07,0.0,0.0,0.0,0.0,0.0,8.301083623456206e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3204334493824825e-06,8.301083623456206e-07,8.301083623456206e-07,8.301083623456206e-07,4.9806501740737235e-06,5.810758536419344e-06,3.3204334493824825e-06,3.3204334493824825e-06,3.3204334493824825e-06,4.9806501740737235e-06,1.6602167246912412e-06,4.9806501740737235e-06,3.3204334493824825e-06,4.150541811728103e-06,6.640866898764965e-06,2.4903250870368618e-06,4.150541811728103e-06,8.301083623456206e-07,2.4903250870368618e-06,8.301083623456206e-07,4.150541811728103e-06,4.150541811728103e-06,1.0791408710493067e-05,1.328173379752993e-05,1.411184215987555e-05,1.0791408710493067e-05,1.0791408710493067e-05,1.411184215987555e-05,1.494195052222117e-05,1.0791408710493067e-05,8.301083623456206e-06,5.810758536419344e-06,2.4903250870368618e-06,8.301083623456206e-07,0.0,0.0,8.301083623456206e-07,0.0,0.0,0.0,0.0,8.301083623456206e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.301083623456206e-07,8.301083623456206e-07,0.0,0.0,0.0,0.0,8.301083623456206e-07,4.150541811728103e-06,4.150541811728103e-06,7.470975261110585e-06,3.3204334493824825e-06
"(19, 29]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.016425221826602e-07,0.0,9.016425221826602e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.016425221826602e-07,9.016425221826602e-07,0.0,1.8032850443653204e-06,2.7049275665479803e-06,1.8032850443653204e-06,3.6065700887306407e-06,2.7049275665479803e-06,3.6065700887306407e-06,2.7049275665479803e-06,0.0,0.0,9.016425221826602e-07,0.0,2.7049275665479803e-06,9.016425221826602e-07,9.016425221826602e-07,9.016425221826602e-07,9.016425221826602e-07,9.016425221826602e-07,2.7049275665479803e-06,5.409855133095961e-06,5.409855133095961e-06,9.016425221826601e-06,9.016425221826601e-06,7.213140177461281e-06,5.409855133095961e-06,4.508212610913301e-06,1.8032850443653204e-06,2.7049275665479803e-06,1.8032850443653204e-06,0.0,0.0,9.016425221826602e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.016425221826602e-07,0.0,0.0,0.0,9.016425221826602e-07,9.016425221826602e-07,9.016425221826602e-07,9.016425221826602e-07,2.7049275665479803e-06,0.0
"(9, 19]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032501068638606e-06,0.0,0.0,1.032501068638606e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032501068638606e-06,0.0,0.0,1.032501068638606e-06,1.032501068638606e-06,0.0,0.0,1.032501068638606e-06,0.0,0.0,1.032501068638606e-06,0.0,1.032501068638606e-06,1.032501068638606e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032501068638606e-06,0.0
"(0, 9]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1121355114878038e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1121355114878038e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1121355114878038e-06,0.0,0.0,0.0
