Dátum,Registration,New,Elhunytak,Gyógyultak,Mintavétel száma,Egymillió lakosra elvégzett tesztek száma,Kórházi karanténba zártak száma,Regisztrált esetek százalékos változása az előző naphoz viszonyítva,Pozitív tesztek aránya,A mintavételek számának százalékos változása az előző naphoz képest,Aktív fertőzöttek száma,Elhunytak aránya Magyarországon,Gyógyultak aránya Magyarországon,Hatósági házi karantén,Új mintavételek száma,Új esetek aránya az új mintavételekhez képest,New Deaths,Új gyógyultak naponta,Kórházi ápoltak száma,Lélegeztetőgépen lévők száma,Aktív esetek/összes eset,Kórházi ápoltak számának változása az előző naphoz képest,Lélegeztetőgépen lévők számának változása az előző naphoz képest,Kórházi ápoltak aránya az aktív eseteken belül,Lélegeztetőgépen lévők aránya a kórházi ápoltakon belül,Növekedési faktor,Hétnapos mozgóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag.1,Hétnapos csúszóátlag.2,Hétnapos csúszóátlag.3,Beoltottak száma Magyarországon,Új beoltottak száma Magyarországon,Hétnapos csúszóátlag.4,Második oltás,Második oltás napi,Hétnapos csúszóátlag.5,Hétnapos csúszóátlag.6
2020-03-04,2.0,2.0,,,230.0,,21.0,,0.0087,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2020-03-05,4.0,2.0,,,230.0,,40.0,,0.0174,,4.0,,,,0.0,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,
2020-03-06,4.0,0.0,,,269.0,27.448979591836732,39.0,,0.0149,0.17,4.0,,,,39.0,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,
2020-03-07,5.0,1.0,,,319.0,32.55102040816326,48.0,0.25,0.0157,0.186,5.0,,,,50.0,0.02,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,
2020-03-08,7.0,2.0,,,362.0,36.93877551020408,67.0,0.4,0.0193,0.135,7.0,,,,43.0,0.0465,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,
2020-03-09,9.0,2.0,,,362.0,36.93877551020408,67.0,0.2857,0.0249,,9.0,,,,0.0,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,
2020-03-10,12.0,3.0,,,531.0,54.18367346938775,53.0,0.3333,0.0226,0.467,12.0,,,,169.0,0.0178,,,,,1.0,0.0,0.0,,,,,1.7142857142857142,,43.0,,,,,,,,
2020-03-11,13.0,1.0,,,609.0,62.14285714285714,69.0,0.0833,0.0213,0.147,13.0,,,,78.0,0.0128,,,,,1.0,0.0,0.0,,,,,1.5714285714285714,,54.142857142857146,,,,,,,,
2020-03-12,16.0,3.0,,,730.0,74.48979591836734,65.0,0.2308,0.0219,0.199,16.0,,,,121.0,0.0248,,,,,1.0,0.0,0.0,,,,,1.7142857142857142,,71.42857142857143,,,,,,,,
2020-03-13,19.0,3.0,,1.0,858.0,87.55102040816325,79.0,0.1875,0.0221,0.175,18.0,,0.0526,,128.0,0.0234,,1.0,,,0.9473684210526315,0.0,0.0,,,,,2.142857142857143,,84.14285714285714,0.02075714285714286,,,,,,,
2020-03-14,30.0,11.0,,1.0,1014.0,103.46938775510203,79.0,0.5789,0.0296,0.182,29.0,,0.0333,,156.0,0.0705,,0.0,,,0.9666666666666667,0.0,0.0,,,,,3.5714285714285716,,99.28571428571429,0.027971428571428567,,,,,,,
2020-03-15,32.0,2.0,,1.0,1236.0,126.12244897959182,159.0,0.0667,0.0259,0.219,31.0,,0.0313,,222.0,0.009,,0.0,,,0.96875,0.0,0.0,,,,,3.5714285714285716,,124.85714285714286,0.022614285714285715,,,,,,,
2020-03-16,39.0,7.0,1.0,2.0,1470.0,150.0,137.0,0.2188,0.0265,0.189,36.0,0.0256,0.0513,,234.0,0.0299,1.0,1.0,,,0.9230769230769231,0.0,0.0,,,,,4.285714285714286,,158.28571428571428,0.026885714285714287,,,,,,,
2020-03-17,50.0,11.0,1.0,2.0,1587.0,161.93877551020407,137.0,0.2821,0.0315,0.08,47.0,0.02,0.04,,117.0,0.094,0.0,0.0,,,0.94,0.0,0.0,,,3.1666666666666665,,5.428571428571429,,150.85714285714286,0.037771428571428574,,,,,,,
2020-03-18,58.0,8.0,1.0,2.0,1803.0,183.97959183673467,122.0,0.16,0.0322,0.136,55.0,0.0172,0.0345,2817.0,216.0,0.037,0.0,0.0,,,0.9482758620689655,0.0,0.0,,,4.090909090909091,,6.428571428571429,,170.57142857142858,0.041228571428571434,,,,,,,
2020-03-19,73.0,15.0,1.0,2.0,2322.0,236.93877551020407,124.0,0.2586,0.0314,0.288,70.0,0.0137,0.0274,3065.0,519.0,0.0289,0.0,0.0,,,0.958904109589041,0.0,0.0,,,4.75,,8.142857142857142,,227.42857142857142,0.04181428571428571,,,,,,,0.2857142857142857
2020-03-20,85.0,12.0,4.0,7.0,3007.0,306.83673469387753,116.0,0.1644,0.0283,0.295,74.0,0.0471,0.0824,3506.0,685.0,0.0175,3.0,5.0,,,0.8705882352941177,0.0,0.0,,,4.4,,9.428571428571429,,307.0,0.04097142857142857,,,,,,,0.8571428571428571
2020-03-21,103.0,18.0,4.0,7.0,3477.0,354.7959183673469,117.0,0.2118,0.0296,0.156,92.0,0.0388,0.068,3771.0,470.0,0.0383,0.0,0.0,,,0.8932038834951457,0.0,0.0,,,2.92,,10.428571428571429,,351.85714285714283,0.03637142857142857,,,,,,,0.8571428571428571
2020-03-22,131.0,28.0,6.0,16.0,4443.0,453.3673469387755,115.0,0.2718,0.0295,0.278,109.0,0.0458,0.1221,3945.0,966.0,0.029,2.0,9.0,,,0.8320610687022901,0.0,0.0,,,3.96,,14.142857142857142,0.8571428571428571,458.14285714285717,0.03922857142857143,,,,,,,2.142857142857143
