,Dátum,Elhunytak,cum_sum
0,2020-03-04,0.0,0.0
1,2020-03-05,0.0,0.0
2,2020-03-06,0.0,0.0
3,2020-03-07,0.0,0.0
4,2020-03-08,0.0,0.0
5,2020-03-09,0.0,0.0
6,2020-03-10,0.0,0.0
7,2020-03-11,0.0,0.0
8,2020-03-12,0.0,0.0
9,2020-03-13,0.0,0.0
10,2020-03-14,0.0,0.0
11,2020-03-15,0.0,0.0
12,2020-03-16,1.0,1.0
13,2020-03-17,1.0,2.0
14,2020-03-18,1.0,3.0
15,2020-03-19,1.0,4.0
16,2020-03-20,4.0,8.0
17,2020-03-21,4.0,12.0
18,2020-03-22,6.0,18.0
19,2020-03-23,8.0,26.0
20,2020-03-24,9.0,35.0
21,2020-03-25,10.0,45.0
22,2020-03-26,10.0,55.0
23,2020-03-27,10.0,65.0
24,2020-03-28,11.0,76.0
25,2020-03-29,13.0,89.0
26,2020-03-30,15.0,104.0
27,2020-03-31,16.0,120.0
28,2020-04-01,20.0,140.0
29,2020-04-02,21.0,161.0
30,2020-04-03,26.0,187.0
31,2020-04-04,32.0,219.0
32,2020-04-05,34.0,253.0
33,2020-04-06,38.0,291.0
34,2020-04-07,47.0,338.0
35,2020-04-08,58.0,396.0
36,2020-04-09,66.0,462.0
37,2020-04-10,77.0,539.0
38,2020-04-11,85.0,624.0
39,2020-04-12,99.0,723.0
40,2020-04-13,109.0,832.0
41,2020-04-14,122.0,954.0
42,2020-04-15,134.0,1088.0
43,2020-04-16,142.0,1230.0
44,2020-04-17,156.0,1386.0
45,2020-04-18,172.0,1558.0
46,2020-04-19,189.0,1747.0
47,2020-04-20,199.0,1946.0
48,2020-04-21,213.0,2159.0
49,2020-04-22,225.0,2384.0
50,2020-04-23,239.0,2623.0
51,2020-04-24,250.0,2873.0
52,2020-04-25,262.0,3135.0
53,2020-04-26,272.0,3407.0
54,2020-04-27,280.0,3687.0
55,2020-04-28,291.0,3978.0
56,2020-04-29,300.0,4278.0
57,2020-04-30,312.0,4590.0
58,2020-05-01,323.0,4913.0
59,2020-05-02,335.0,5248.0
60,2020-05-03,340.0,5588.0
61,2020-05-04,351.0,5939.0
62,2020-05-05,363.0,6302.0
63,2020-05-06,373.0,6675.0
64,2020-05-07,383.0,7058.0
65,2020-05-08,392.0,7450.0
66,2020-05-09,405.0,7855.0
67,2020-05-10,413.0,8268.0
68,2020-05-11,421.0,8689.0
69,2020-05-12,425.0,9114.0
70,2020-05-13,430.0,9544.0
71,2020-05-14,436.0,9980.0
72,2020-05-15,442.0,10422.0
73,2020-05-16,448.0,10870.0
74,2020-05-17,451.0,11321.0
75,2020-05-18,462.0,11783.0
76,2020-05-19,467.0,12250.0
77,2020-05-20,470.0,12720.0
78,2020-05-21,473.0,13193.0
79,2020-05-22,476.0,13669.0
80,2020-05-23,482.0,14151.0
81,2020-05-24,486.0,14637.0
82,2020-05-25,491.0,15128.0
83,2020-05-26,499.0,15627.0
84,2020-05-27,505.0,16132.0
85,2020-05-28,509.0,16641.0
86,2020-05-29,517.0,17158.0
87,2020-05-30,524.0,17682.0
88,2020-05-31,526.0,18208.0
89,2020-06-01,527.0,18735.0
90,2020-06-02,532.0,19267.0
91,2020-06-03,534.0,19801.0
92,2020-06-04,539.0,20340.0
93,2020-06-05,542.0,20882.0
94,2020-06-06,545.0,21427.0
95,2020-06-07,546.0,21973.0
96,2020-06-08,548.0,22521.0
97,2020-06-09,550.0,23071.0
98,2020-06-10,551.0,23622.0
99,2020-06-11,553.0,24175.0
100,2020-06-12,555.0,24730.0
101,2020-06-13,559.0,25289.0
102,2020-06-14,562.0,25851.0
103,2020-06-15,563.0,26414.0
104,2020-06-16,565.0,26979.0
105,2020-06-17,567.0,27546.0
106,2020-06-18,568.0,28114.0
107,2020-06-19,568.0,28682.0
108,2020-06-20,570.0,29252.0
109,2020-06-21,570.0,29822.0
110,2020-06-22,572.0,30394.0
111,2020-06-23,573.0,30967.0
112,2020-06-24,576.0,31543.0
113,2020-06-25,577.0,32120.0
114,2020-06-26,578.0,32698.0
115,2020-06-27,578.0,33276.0
116,2020-06-28,581.0,33857.0
117,2020-06-29,585.0,34442.0
118,2020-06-30,585.0,35027.0
119,2020-07-01,586.0,35613.0
120,2020-07-02,587.0,36200.0
121,2020-07-03,588.0,36788.0
122,2020-07-04,589.0,37377.0
123,2020-07-05,589.0,37966.0
124,2020-07-06,589.0,38555.0
125,2020-07-07,589.0,39144.0
126,2020-07-08,589.0,39733.0
127,2020-07-09,591.0,40324.0
128,2020-07-10,593.0,40917.0
129,2020-07-11,595.0,41512.0
130,2020-07-12,595.0,42107.0
131,2020-07-13,595.0,42702.0
132,2020-07-14,595.0,43297.0
133,2020-07-15,595.0,43892.0
134,2020-07-16,595.0,44487.0
135,2020-07-17,595.0,45082.0
136,2020-07-18,596.0,45678.0
137,2020-07-19,596.0,46274.0
138,2020-07-20,596.0,46870.0
139,2020-07-21,596.0,47466.0
140,2020-07-22,596.0,48062.0
141,2020-07-23,596.0,48658.0
142,2020-07-24,596.0,49254.0
143,2020-07-25,596.0,49850.0
144,2020-07-26,596.0,50446.0
145,2020-07-27,596.0,51042.0
146,2020-07-28,596.0,51638.0
147,2020-07-29,596.0,52234.0
148,2020-07-30,596.0,52830.0
149,2020-07-31,596.0,53426.0
150,2020-08-01,597.0,54023.0
151,2020-08-02,597.0,54620.0
152,2020-08-03,597.0,55217.0
153,2020-08-04,598.0,55815.0
154,2020-08-05,599.0,56414.0
155,2020-08-06,600.0,57014.0
156,2020-08-07,602.0,57616.0
157,2020-08-08,602.0,58218.0
158,2020-08-09,602.0,58820.0
159,2020-08-10,605.0,59425.0
160,2020-08-11,605.0,60030.0
161,2020-08-12,605.0,60635.0
162,2020-08-13,607.0,61242.0
163,2020-08-14,607.0,61849.0
164,2020-08-15,607.0,62456.0
165,2020-08-16,608.0,63064.0
166,2020-08-17,608.0,63672.0
167,2020-08-18,609.0,64281.0
168,2020-08-19,609.0,64890.0
169,2020-08-20,609.0,65499.0
170,2020-08-21,611.0,66110.0
171,2020-08-22,611.0,66721.0
172,2020-08-23,613.0,67334.0
173,2020-08-24,613.0,67947.0
174,2020-08-25,614.0,68561.0
175,2020-08-26,614.0,69175.0
176,2020-08-27,614.0,69789.0
177,2020-08-28,614.0,70403.0
178,2020-08-29,614.0,71017.0
179,2020-08-30,614.0,71631.0
180,2020-08-31,615.0,72246.0
181,2020-09-01,616.0,72862.0
182,2020-09-02,619.0,73481.0
183,2020-09-03,620.0,74101.0
184,2020-09-04,621.0,74722.0
185,2020-09-05,624.0,75346.0
186,2020-09-06,624.0,75970.0
187,2020-09-07,625.0,76595.0
188,2020-09-08,626.0,77221.0
189,2020-09-09,628.0,77849.0
190,2020-09-10,630.0,78479.0
191,2020-09-11,631.0,79110.0
192,2020-09-12,633.0,79743.0
193,2020-09-13,637.0,80380.0
194,2020-09-14,642.0,81022.0
195,2020-09-15,646.0,81668.0
196,2020-09-16,654.0,82322.0
197,2020-09-17,663.0,82985.0
198,2020-09-18,669.0,83654.0
199,2020-09-19,675.0,84329.0
200,2020-09-20,683.0,85012.0
201,2020-09-21,686.0,85698.0
202,2020-09-22,694.0,86392.0
203,2020-09-23,702.0,87094.0
204,2020-09-24,709.0,87803.0
205,2020-09-25,718.0,88521.0
206,2020-09-26,730.0,89251.0
207,2020-09-27,736.0,89987.0
208,2020-09-28,749.0,90736.0
209,2020-09-29,757.0,91493.0
210,2020-09-30,765.0,92258.0
211,2020-10-01,781.0,93039.0
212,2020-10-02,798.0,93837.0
213,2020-10-03,812.0,94649.0
214,2020-10-04,822.0,95471.0
215,2020-10-05,833.0,96304.0
216,2020-10-06,853.0,97157.0
217,2020-10-07,877.0,98034.0
218,2020-10-08,898.0,98932.0
219,2020-10-09,913.0,99845.0
220,2020-10-10,933.0,100778.0
221,2020-10-11,954.0,101732.0
222,2020-10-12,968.0,102700.0
223,2020-10-13,996.0,103696.0
224,2020-10-14,1023.0,104719.0
225,2020-10-15,1052.0,105771.0
226,2020-10-16,1085.0,106856.0
227,2020-10-17,1109.0,107965.0
228,2020-10-18,1142.0,109107.0
229,2020-10-19,1173.0,110280.0
230,2020-10-20,1211.0,111491.0
231,2020-10-21,1259.0,112750.0
232,2020-10-22,1305.0,114055.0
233,2020-10-23,1352.0,115407.0
234,2020-10-24,1390.0,116797.0
235,2020-10-25,1425.0,118222.0
236,2020-10-26,1472.0,119694.0
237,2020-10-27,1535.0,121229.0
238,2020-10-28,1578.0,122807.0
239,2020-10-29,1634.0,124441.0
240,2020-10-30,1699.0,126140.0
241,2020-10-31,1750.0,127890.0
242,2020-11-01,1819.0,129709.0
243,2020-11-02,1889.0,131598.0
244,2020-11-03,1973.0,133571.0
245,2020-11-04,2063.0,135634.0
246,2020-11-05,2147.0,137781.0
247,2020-11-06,2250.0,140031.0
248,2020-11-07,2357.0,142388.0
249,2020-11-08,2438.0,144826.0
250,2020-11-09,2493.0,147319.0
251,2020-11-10,2596.0,149915.0
252,2020-11-11,2697.0,152612.0
253,2020-11-12,2784.0,155396.0
254,2020-11-13,2883.0,158279.0
255,2020-11-14,2990.0,161269.0
256,2020-11-15,3097.0,164366.0
257,2020-11-16,3190.0,167556.0
258,2020-11-17,3281.0,170837.0
259,2020-11-18,3380.0,174217.0
260,2020-11-19,3472.0,177689.0
261,2020-11-20,3568.0,181257.0
262,2020-11-21,3689.0,184946.0
263,2020-11-22,3800.0,188746.0
264,2020-11-23,3891.0,192637.0
265,2020-11-24,4008.0,196645.0
266,2020-11-25,4114.0,200759.0
267,2020-11-26,4229.0,204988.0
268,2020-11-27,4364.0,209352.0
269,2020-11-28,4516.0,213868.0
270,2020-11-29,4672.0,218540.0
271,2020-11-30,4823.0,223363.0
272,2020-12-01,4977.0,228340.0
273,2020-12-02,5142.0,233482.0
274,2020-12-03,5324.0,238806.0
275,2020-12-04,5513.0,244319.0
276,2020-12-05,5706.0,250025.0
277,2020-12-06,5868.0,255893.0
278,2020-12-07,5984.0,261877.0
279,2020-12-08,6120.0,267997.0
280,2020-12-09,6280.0,274277.0
281,2020-12-10,6451.0,280728.0
282,2020-12-11,6622.0,287350.0
283,2020-12-12,6784.0,294134.0
284,2020-12-13,6965.0,301099.0
285,2020-12-14,7130.0,308229.0
286,2020-12-15,7237.0,315466.0
287,2020-12-16,7381.0,322847.0
288,2020-12-17,7538.0,330385.0
289,2020-12-18,7725.0,338110.0
290,2020-12-19,7914.0,346024.0
291,2020-12-20,8099.0,354123.0
292,2020-12-21,8282.0,362405.0
293,2020-12-22,8462.0,370867.0
294,2020-12-23,8616.0,379483.0
295,2020-12-24,8729.0,388212.0
296,2020-12-25,8833.0,397045.0
297,2020-12-26,8951.0,405996.0
298,2020-12-27,9047.0,415043.0
299,2020-12-28,9161.0,424204.0
300,2020-12-29,9292.0,433496.0
301,2020-12-30,9429.0,442925.0
302,2020-12-31,9537.0,452462.0
303,2021-01-01,9667.0,462129.0
304,2021-01-02,9781.0,471910.0
305,2021-01-03,9884.0,481794.0
