,Dátum,Elhunytak,New Deaths
12,2020-03-16,1.0,1.0
13,2020-03-17,1.0,0.0
14,2020-03-18,1.0,0.0
15,2020-03-19,1.0,0.0
16,2020-03-20,4.0,3.0
17,2020-03-21,4.0,0.0
18,2020-03-22,6.0,2.0
19,2020-03-23,8.0,2.0
20,2020-03-24,9.0,1.0
21,2020-03-25,10.0,1.0
22,2020-03-26,10.0,0.0
23,2020-03-27,10.0,0.0
24,2020-03-28,11.0,1.0
25,2020-03-29,13.0,2.0
26,2020-03-30,15.0,2.0
27,2020-03-31,16.0,2.0
28,2020-04-01,20.0,4.0
29,2020-04-02,21.0,1.0
30,2020-04-03,26.0,5.0
31,2020-04-04,32.0,6.0
32,2020-04-05,34.0,2.0
33,2020-04-06,38.0,4.0
34,2020-04-07,47.0,9.0
35,2020-04-08,58.0,11.0
36,2020-04-09,66.0,8.0
37,2020-04-10,77.0,11.0
38,2020-04-11,85.0,8.0
39,2020-04-12,99.0,14.0
40,2020-04-13,109.0,10.0
41,2020-04-14,122.0,13.0
42,2020-04-15,134.0,12.0
43,2020-04-16,142.0,8.0
44,2020-04-17,156.0,14.0
45,2020-04-18,172.0,16.0
46,2020-04-19,189.0,17.0
47,2020-04-20,199.0,10.0
48,2020-04-21,213.0,14.0
49,2020-04-22,225.0,12.0
50,2020-04-23,239.0,14.0
51,2020-04-24,250.0,11.0
52,2020-04-25,262.0,12.0
53,2020-04-26,272.0,10.0
54,2020-04-27,280.0,8.0
55,2020-04-28,291.0,11.0
56,2020-04-29,300.0,9.0
57,2020-04-30,312.0,12.0
58,2020-05-01,323.0,11.0
59,2020-05-02,335.0,12.0
60,2020-05-03,340.0,5.0
61,2020-05-04,351.0,11.0
62,2020-05-05,363.0,12.0
63,2020-05-06,373.0,10.0
64,2020-05-07,383.0,10.0
65,2020-05-08,392.0,9.0
66,2020-05-09,405.0,13.0
67,2020-05-10,413.0,8.0
68,2020-05-11,421.0,8.0
69,2020-05-12,425.0,4.0
70,2020-05-13,430.0,5.0
71,2020-05-14,436.0,6.0
72,2020-05-15,442.0,6.0
73,2020-05-16,448.0,6.0
74,2020-05-17,451.0,3.0
75,2020-05-18,462.0,11.0
76,2020-05-19,467.0,5.0
77,2020-05-20,470.0,3.0
78,2020-05-21,473.0,3.0
79,2020-05-22,476.0,3.0
80,2020-05-23,482.0,6.0
81,2020-05-24,486.0,4.0
82,2020-05-25,491.0,5.0
83,2020-05-26,499.0,8.0
84,2020-05-27,505.0,6.0
85,2020-05-28,509.0,4.0
86,2020-05-29,517.0,8.0
87,2020-05-30,524.0,7.0
88,2020-05-31,526.0,2.0
89,2020-06-01,527.0,1.0
90,2020-06-02,532.0,5.0
91,2020-06-03,534.0,2.0
92,2020-06-04,539.0,5.0
93,2020-06-05,542.0,3.0
94,2020-06-06,545.0,3.0
95,2020-06-07,546.0,1.0
96,2020-06-08,548.0,1.0
97,2020-06-09,550.0,2.0
98,2020-06-10,551.0,1.0
99,2020-06-11,553.0,2.0
100,2020-06-12,555.0,2.0
101,2020-06-13,559.0,4.0
102,2020-06-14,562.0,3.0
103,2020-06-15,563.0,1.0
104,2020-06-16,565.0,2.0
105,2020-06-17,567.0,2.0
106,2020-06-18,568.0,1.0
107,2020-06-19,568.0,0.0
108,2020-06-20,570.0,2.0
109,2020-06-21,570.0,0.0
110,2020-06-22,572.0,2.0
111,2020-06-23,573.0,1.0
112,2020-06-24,576.0,3.0
113,2020-06-25,577.0,1.0
114,2020-06-26,578.0,1.0
115,2020-06-27,578.0,0.0
116,2020-06-28,581.0,3.0
117,2020-06-29,585.0,4.0
118,2020-06-30,585.0,0.0
119,2020-07-01,586.0,1.0
120,2020-07-02,587.0,1.0
121,2020-07-03,588.0,1.0
122,2020-07-04,589.0,1.0
123,2020-07-05,589.0,0.0
124,2020-07-06,589.0,0.0
125,2020-07-07,589.0,0.0
126,2020-07-08,589.0,0.0
127,2020-07-09,591.0,2.0
128,2020-07-10,593.0,2.0
129,2020-07-11,595.0,2.0
130,2020-07-12,595.0,0.0
131,2020-07-13,595.0,0.0
132,2020-07-14,595.0,0.0
133,2020-07-15,595.0,0.0
134,2020-07-16,595.0,0.0
135,2020-07-17,595.0,0.0
136,2020-07-18,596.0,1.0
137,2020-07-19,596.0,0.0
138,2020-07-20,596.0,0.0
139,2020-07-21,596.0,0.0
140,2020-07-22,596.0,0.0
141,2020-07-23,596.0,0.0
142,2020-07-24,596.0,0.0
143,2020-07-25,596.0,0.0
144,2020-07-26,596.0,0.0
145,2020-07-27,596.0,0.0
146,2020-07-28,596.0,0.0
147,2020-07-29,596.0,0.0
148,2020-07-30,596.0,0.0
149,2020-07-31,596.0,0.0
150,2020-08-01,597.0,1.0
151,2020-08-02,597.0,0.0
152,2020-08-03,597.0,0.0
153,2020-08-04,598.0,1.0
154,2020-08-05,599.0,1.0
155,2020-08-06,600.0,1.0
156,2020-08-07,602.0,2.0
157,2020-08-08,602.0,0.0
158,2020-08-09,602.0,0.0
159,2020-08-10,605.0,3.0
160,2020-08-11,605.0,0.0
161,2020-08-12,605.0,0.0
162,2020-08-13,607.0,2.0
163,2020-08-14,607.0,0.0
164,2020-08-15,607.0,0.0
165,2020-08-16,608.0,1.0
166,2020-08-17,608.0,0.0
167,2020-08-18,609.0,1.0
168,2020-08-19,609.0,0.0
169,2020-08-20,609.0,0.0
170,2020-08-21,611.0,2.0
171,2020-08-22,611.0,0.0
172,2020-08-23,613.0,2.0
173,2020-08-24,613.0,0.0
174,2020-08-25,614.0,1.0
175,2020-08-26,614.0,0.0
176,2020-08-27,614.0,0.0
177,2020-08-28,614.0,0.0
178,2020-08-29,614.0,0.0
179,2020-08-30,614.0,0.0
180,2020-08-31,615.0,1.0
181,2020-09-01,616.0,1.0
182,2020-09-02,619.0,3.0
183,2020-09-03,620.0,1.0
184,2020-09-04,621.0,1.0
185,2020-09-05,624.0,3.0
186,2020-09-06,624.0,0.0
187,2020-09-07,625.0,1.0
188,2020-09-08,626.0,1.0
189,2020-09-09,628.0,2.0
190,2020-09-10,630.0,2.0
191,2020-09-11,631.0,1.0
192,2020-09-12,633.0,2.0
193,2020-09-13,637.0,4.0
194,2020-09-14,642.0,5.0
195,2020-09-15,646.0,4.0
196,2020-09-16,654.0,8.0
197,2020-09-17,663.0,9.0
198,2020-09-18,669.0,6.0
199,2020-09-19,675.0,6.0
200,2020-09-20,683.0,8.0
201,2020-09-21,686.0,3.0
202,2020-09-22,694.0,8.0
203,2020-09-23,702.0,8.0
204,2020-09-24,709.0,7.0
205,2020-09-25,718.0,9.0
206,2020-09-26,730.0,12.0
207,2020-09-27,736.0,6.0
208,2020-09-28,749.0,13.0
209,2020-09-29,757.0,8.0
210,2020-09-30,765.0,8.0
211,2020-10-01,781.0,16.0
212,2020-10-02,798.0,17.0
213,2020-10-03,812.0,14.0
214,2020-10-04,822.0,10.0
215,2020-10-05,833.0,11.0
216,2020-10-06,853.0,20.0
217,2020-10-07,877.0,24.0
218,2020-10-08,898.0,21.0
219,2020-10-09,913.0,15.0
220,2020-10-10,933.0,20.0
221,2020-10-11,954.0,21.0
222,2020-10-12,968.0,14.0
223,2020-10-13,996.0,28.0
224,2020-10-14,1023.0,27.0
225,2020-10-15,1052.0,29.0
226,2020-10-16,1085.0,33.0
227,2020-10-17,1109.0,24.0
228,2020-10-18,1142.0,33.0
229,2020-10-19,1173.0,31.0
230,2020-10-20,1211.0,38.0
231,2020-10-21,1259.0,48.0
232,2020-10-22,1305.0,46.0
233,2020-10-23,1352.0,47.0
234,2020-10-24,1390.0,38.0
235,2020-10-25,1425.0,35.0
236,2020-10-26,1472.0,47.0
237,2020-10-27,1535.0,63.0
238,2020-10-28,1578.0,43.0
239,2020-10-29,1634.0,56.0
240,2020-10-30,1699.0,65.0
241,2020-10-31,1750.0,51.0
242,2020-11-01,1819.0,69.0
243,2020-11-02,1889.0,70.0
244,2020-11-03,1973.0,84.0
245,2020-11-04,2063.0,90.0
246,2020-11-05,2147.0,84.0
247,2020-11-06,2250.0,103.0
248,2020-11-07,2357.0,107.0
249,2020-11-08,2438.0,81.0
250,2020-11-09,2493.0,55.0
251,2020-11-10,2596.0,103.0
252,2020-11-11,2697.0,101.0
253,2020-11-12,2784.0,87.0
254,2020-11-13,2883.0,99.0
255,2020-11-14,2990.0,107.0
256,2020-11-15,3097.0,107.0
257,2020-11-16,3190.0,93.0
258,2020-11-17,3281.0,91.0
259,2020-11-18,3380.0,99.0
260,2020-11-19,3472.0,92.0
261,2020-11-20,3568.0,96.0
262,2020-11-21,3689.0,121.0
263,2020-11-22,3800.0,111.0
264,2020-11-23,3891.0,91.0
265,2020-11-24,4008.0,117.0
266,2020-11-25,4114.0,106.0
267,2020-11-26,4229.0,115.0
268,2020-11-27,4364.0,135.0
269,2020-11-28,4516.0,152.0
270,2020-11-29,4672.0,156.0
271,2020-11-30,4823.0,151.0
272,2020-12-01,4977.0,154.0
273,2020-12-02,5142.0,165.0
274,2020-12-03,5324.0,182.0
275,2020-12-04,5513.0,189.0
276,2020-12-05,5706.0,193.0
277,2020-12-06,5868.0,162.0
278,2020-12-07,5984.0,116.0
279,2020-12-08,6120.0,136.0
280,2020-12-09,6280.0,160.0
281,2020-12-10,6451.0,171.0
282,2020-12-11,6622.0,171.0
283,2020-12-12,6784.0,162.0
284,2020-12-13,6965.0,181.0
285,2020-12-14,7130.0,165.0
286,2020-12-15,7237.0,107.0
287,2020-12-16,7381.0,144.0
288,2020-12-17,7538.0,157.0
289,2020-12-18,7725.0,187.0
290,2020-12-19,7914.0,189.0
291,2020-12-20,8099.0,185.0
